,text
994,自2016年建队以来，深圳DYG的成长路线可谓颇具传奇色彩，从建队后的中流队伍，到如今斩获2020KPL秋季赛总冠军、2020KPL冬季冠军杯总决赛亚军等重磅荣誉，以一匹黑马的姿态杀出重围。随着俱乐部不断成长渐入佳境，培养出了一批骁勇善战的明星选手，吸引了大批玩家与粉丝。
995,完成城市冠名与落地后，无疑能够加深战队的情感归属，强化粉丝社区的凝聚力，通过激活玩家社区生态，完善电竞产业链，提升俱乐部的品牌价值。
996,同时，随着电竞消费圈层逐步扩散，文旅、教育、娱乐等都能与电竞产生协同与合作。在这当中，城市又能够扮演聚合器的角色，将这些消费场景与电竞进行有机聚合，帮助俱乐部实现更大的商业化价值。
997,深圳DYG相关负责人就曾表示，将从不同维度探索电子竞技与城市文化的理想结合点。以IP联动、粉丝运营、交互活动与赛事直播、IP周边、社群面见等方式，触及与覆盖更多目标用户，打造属于深圳主场的个性化传播生态。
998,此外，以电竞为契机，城市为舞台，通过电竞战队的号召力与影响力也能够为城市贡献出正面的社会意义，积累俱乐部的隐形资产。
999,比如在前不久的第26届世界读书日中，深圳DYG的明星选手“小义”就成为了“全民公益阅读大使”，为公益助力，呼吁市民放下手机，一同享受阅读感受知识的力量，释放出更大的社会价值。
1000,从落户深圳南山区到开启新主场，落地后的深圳DYG身体力行地助力KPL生态发展，同时也由点及面，构筑俱乐部文化，全面提升俱乐部的品牌价值。
1001,  城市主场启用，深圳电竞讲述新故事
1002,不可否认，在电竞产业发展愈发迅速的同时，城市已然成为讲述中国电竞故事的大舞台。
1003,面对近年来电竞越来越明显的下沉化发展趋势，全国各地不少地方政府都开启了“抢人”模式，出台相应的扶持计划，吸引赛事方、俱乐部以及相关公司落户，深圳南山区便是其中之一。
1004,去年底，深圳南山区政府就曾发布了《深圳市南山区关于支持电竞产业发展的实施意见》并预计于今年1月开始正式实施。其中明确南山区将以，“顶级电竞赛事举办地”“中国电竞产业总部基地”“粤港澳电竞产业中心”等为目标，对于落户赛事、俱乐部、电竞企业、相关教育机构进行大力扶持。
1005,而深圳DYG成为了政策落地后首支入驻的俱乐部，推动深圳电竞产业的发展与繁荣。如今，DYG正式启用新主场，无疑为深圳南山区电竞产业建设再添支点，通过电竞连接Z世代用户，创造更具人文气质的价值，打造城市文化名片。
1006,一直以来，“活力、年轻、创新”都是鹏城深圳的代名词，据了解，深圳的常住人口平均年龄仅32.5岁，这正符合了电竞Z世代用户为主的受众群。同时，据不完全统计，截至2020年末，深圳的游戏企业数量已经超过4000家，拥有着稳定的产业链上游生态。
1007,根据市场研究机构NEWZOO全新的报告显示，中国已经是全球范围内电竞规模最大的市场，营收份额占据全球近三分之一，而到2021年，中国电竞市场营收将达到3.601亿美元。
1008,庞大的市场规模为中国电竞产业的辉煌发展提供了大量的机会与空间，得天独厚的环境使得深圳电竞产业能够腾飞，随着深圳DYG的到来，也为城市产业发展注入新的活力。
1009,据了解，深圳DYG将通过构筑地标式的国际电竞产业中心，助力深圳打造电竞文化城市名片，增厚城市文化深度，拓宽价值经济广度。
1010,在4月16日的入城首秀中，深圳市就结合多个城市场景，“海陆空”全面出动，为深圳DYG举行了一场别开生面的欢迎礼，既有机器人仪仗队整齐划一舞蹈，也有队员们出海启航。
1011,而在傍晚时分，绚丽的无人机灯光表演点亮了深圳南山区的天空，成为了一道城市风景线，为深圳贴上了年轻化、潮流化的标签，也让更多热爱电竞的观众看到了这座城市的魅力，更看懂了深圳DYG到来后，电竞文化所能带来的价值以及赋予的能量。
1012,  全面布局电竞，斗鱼内外兼修丰富业务生态
1013,从DYG组建，到一步步走向大众的眼光，攀登至顶级赛场的舞台，并建立自己的城市主场，还有一个不可忽视的关键角色，那便是战队的投资方斗鱼。
1014,一直以来，电竞都深深的扎根在斗鱼的业务中，在2020年，斗鱼明确的将自身定位为“以电竞为核心的多元化社区”。
1015,向着社区制进发，意味着斗鱼需要更丰富且多元化的内容，同时也需要用户对于社区拥有强烈的认同感、归属感，才能激发玩家踊跃的创造优质的内容，为社区建设良好的生态环境。毫无疑问，对于电竞敏锐的眼光是斗鱼向这一目标发展的风向标。
1016,在平台方面，电竞内容的直接投入是主旋律，引入顶级赛事版权、积极举办平台自创赛事、孵化赛事衍生节目等，帮助斗鱼建立了丰富的电竞内容壁垒。
1017,而投资电竞战队则是斗鱼在直播赛道外，开辟出的一条新道路。
1018,如今，不少顶级电竞赛事都建立起了较高的壁垒，能够在顶级联赛中厮杀的战队，毋庸置疑地成为一种稀缺资源。同时随着赛事商业化模式的成熟，电竞战队的价值逐渐开始凸显。
1019,在传统体育行业中，以城市命名的俱乐部、战队已经是司空见惯，并且随着相关产业的发展，城市的名称深深烙印在了粉丝心中。城市为俱乐部的粉丝们带来了强烈的归属感，也给他们打造了畅所欲言的应用场景。
1020,正因如此，冠名电竞俱乐部为斗鱼带来的不仅仅是营收结构的多样化，更重要的是丰富了整个斗鱼业务的生态。
1021,通过对于电竞战队的布局，斗鱼在直播内容之外找到了一条前景可期的赛道。一方面，直播平台能够帮助队伍、选手获得更多的曝光量，推动战队的商业化价值升级、助力明星战队、选手的养成；另一方面，平台自有的电竞战队也能为用户带来归属感、认同感，激发用户社区源源不断的产出新内容，实现生态良性循环与发展。
1022,布局电竞战队，实则仍是布局内容，不过投资俱乐部则显得更有远见，因为随着产业的壮大，电竞已经逐渐成为一种文化趋势，而这对于以内容为驱动力的直播平台斗鱼而言，意义不言而喻。
1023,完成城市冠名、启用城市主场，既是斗鱼通过电竞战队完成了内容的下沉发展，同时也基于此打通了流量转化的垂直链条，甚至可以说实现了线上与线下的结合与转化，斗鱼的身份也从平台方拓展成为内容创作者、供给者，延伸了在电竞这条赛道上的优势。
1024,如今，深圳DYG战队开启新主场进入全新的阶段，并随着赛事的展开，进一步释放出更大的价值，未来会给斗鱼带来多少想象空间，拭目以待。
1025,2022年夏季赛卡位赛第一场就打得惊心动魄，上海EDGM和深圳DYG是你追我赶，双方打到了巅峰对决，最终，上海EDGM升A成功，有机会去角逐季后赛的名额，而深圳DYG则直接放假到明年，教练的BP必须背锅！
1026,上海EDGM是真的不容易，已经在B组沉浮了好几年，每当大家以为他们可以了的时候，总是没有憋足最后一口气上去，这一次，上海EDGM是真的争气，打赢了卡位赛之后，不仅升A组成功，而且还有机会去争夺季后赛的名额。
1027,要说最C的选手，必须是对抗路的柠栀，大家对这位选手应该很熟悉啊，今天EDGM赢了4个小局，有3个小局的MVP都是他的，确实厉害。
1028,深圳DYG这边就是漏洞百出了，从教练的BP开始就不太对劲，而且还要背锅！
1029,十六的BP全程透出一股不协调感，就是既克制不了对面，自家拿出来也没有很合适，比如第二小局的BP，拿火舞根本就没有用，对上对面的阵容完全没有杀伤力，更别说带节奏了，张飞在卤蛋面前也是脆得像纸，根本没办法给射手提供一个有利的输出环境。
1030,还有最后的巅峰对决，放着小义CARRY过全场、版本答案：宫本武藏不用，去给小义选一个今年9连败的澜，加上这场比赛，已经10连败了。
1031,还有辅助选的是明世隐配孙尚香，着实有点看不懂啊，明世隐虽然是新版本大家都很喜欢的辅助英雄，但是他的强度还没有高到可以在巅峰对决拿出来吧，对面一个蒙恬，一个东皇，强度不知道高出多少倍。
1032,从阵容出来的时候，深圳DYG已经输了一半，打的时候更是很快就被对手终结了，导致他们要等到明年的春季赛才有比赛打，这个教练的BP是绝对要背锅的。
1033,当然，深圳DYG的选手发挥也不稳定，边路的情川最后一局的掉点，直接给了对手机会，一波推掉了水晶，说不是他的失误，谁信？
1034,小义的打野带不起4个人，小义算是队伍里最C的存在，他用的英雄很大程度上决定了队伍的走势，比如第一局的宫本就血C，还有赵云也拿到了MVP，但其他队友都太拉垮了，小义根本带不动。
1035,中单的决明表现越来越拉，巅峰对决和对面一样拿了火舞，还被对面中单KO，真的不知道该说什么。
1036,华郴的射手站不起来，和队友的配合也不到位，开团的时候他离得十万八千里，对线也是平平无奇没有亮点，自己打不出高光，团战也没有什么特别突出的地方。
1037,湘军转辅助之后没有他的打野亮眼，在联盟中属于一般的水平，比赛的时候老是掉点，拿着东皇都被打得无力还手，只能说越来越差。
1038,现在深圳DYG可以好好反省一下，毕竟要到明年春季赛才有机会上场，够他们好好调整的了。
1039,近日，斗鱼旗下的DYG电子竞技俱乐部迎来了建队以来最重要的事情。那就是深圳DYG主场的正式启用。而值得一提的是，在上一次DYG发生非常大的事情，还要追溯到2019年队伍的“大换血”。不过，在成功“换血”之后，DYG也是在第二年拿到了自己队史的首个KPL总冠军。所以，不知道这一次DYG深圳主场正式启用，是否会为他们本赛季比较低迷的表现带来重大的转折。
1040,而从这一次的入城仪式暨主场启用发布会的情况来看，DYG启用深圳主场仅仅只是“冰山一角”，因为更多的是DYG主场正式启用之后为城市电竞文化生活圈所带来的变化。首先，自然是DYG粉丝们的归属感。毕竟，DYG有了自己的主场，而粉丝们在主场观赛，不仅能够近距离看到自己喜欢的选手与战队，并在自己的主场为他们打气之外。与此同时，主场的存在也是能够将俱乐部的文化沉淀，形成与粉丝之间更深度的联动。而这种文化上的联动也能够将电竞文化与城市文化相融合，吸引更多人的关注。
1041,随后，就是主场所带来的商业体。从这一次DYG深圳主场启动仪式中可以得知，已经有非常多的品牌已经与DYG开始进行商业合作。在未来的DYG深圳主场，不仅拥有着属于自己的便利店、餐厅、影院等。同时，还有着属于DYG自己场馆中的赛事活动、场馆补给站等。而这些，都能够带动城市文化周边商业的发展。对数字经济、新经济具有一定的推动作用。
1042,另外，还有一件非常正能量的事情在本次DYG深圳主场启动仪式上给人留下了非常深刻的印象。那就是DYG这个城市电竞新名片将联合中国邮政电竞扶贫以及电竞文旅与公益为城市添彩。不得不说，伴随着电竞越来越火，电竞公益也是成为了近几年非常热门的话题。而DYG能够成为电竞公益中的一分子，相信还是会让粉丝们感到非常自豪的。
1043,在正式宣布DYG深圳主场正式启用之后，DYG的队员们与斗鱼的王者荣耀主播以及一些合作企业的代表也是在主场分别进行了两场表演赛，而最终也都是由“圳守荣耀队”成功拿到了胜利。不难看出，在主场作战的DYG选手们还是相当兴奋的。
1044,最后，伴随着DYG深圳主场正式启用。他们也即将迎来主场的第一个对手，那边是TES战队。那么，DYG能否在主场拿下主场的首胜呢？让我们一起拭目以待，并为他们加油吧！
1045,2021年KPL春季赛季前赛第二个比赛日上演焦点之战，南京HERO久竞对阵深圳DYG，两支战队，一个是去年冬冠冠军，一个是去年秋季赛冠军，双方在冬冠决赛上刚刚交过手，新赛季，深圳DYG更换了对抗路易瞳，南京HERO久竞延续了冬冠阵容。最终，深圳DYG让一追二战胜南京HERO久竞，复仇成功的同时拿下赛季首胜。
1046,第一局，清融沈梦溪一技能丢雷抢下红BUFF，HERO三BUFF开局，1分45秒，子阳鲁班大师控两人，无畏橘右京大招刮死小义赵云拿下一血，橘右京顺势拿下暴君，3分半，易瞳猪八戒二技能壁咚橘右京，赵云大招扎起橘右京无奈伤害不够，后方HERO三人集结抓死无位移技能的赵云，6分20秒，星痕廉颇开到易峥狄仁杰后交闪现撤退，狄仁杰只能后撤无法输出，萧玦杨玉环开大加血，HERO卡住杨玉环大招CD后将其瞬秒，6分50秒，狄仁杰拿下暴君，8分半，橘右京控下先知主宰。
1047,10分半，橘右京SOLO掉暗影暴君，12分钟，橘右京控下主宰，12分50秒，DYG沟通失误，下路高地被HERO偷掉，13分半，星宇孙膑交净化后被控死倒地，14分半，鲁班大师闪拉逼出杨玉环大招，DYG被迫放掉中路高地，15分钟，沈梦溪抢下暗影暴君，虞姬交闪现点死赵云，15分50秒，鲁班大师抗塔过多被孙膑一技能炸死，虞姬开逐日之弓伤害爆炸点死敌方双C二连击破，经济落后过多DYG连倒三人，随着中路超级兵进水晶，虞姬点破敌方水晶，拿下首局比赛胜利。本局最佳给到南京HERO久竞.清融的沈梦溪
1048,第二局，2分10秒，无畏镜拿下暴君，2分40秒，HERO三人反蓝，小义娜可露露落单倒地，4分20秒，星痕猪八戒卡住位置，镜拿下先知主宰，4分50秒，子阳张飞大招吼中易峥虞姬，清融不知火舞绕后二技能接大招秒掉虞姬，6分43秒，娜可露露拿下暴君，8分40秒，久酷公孙离拿下先知主宰，9分钟，易瞳廉颇想乘坐大乔电梯回城无奈敌方输出伤害过高，廉颇倒地，10分钟，萧玦姜子牙大闪刮三人伤害拉满，娜可露露、廉颇双双二连击破，DYG打出0换4完美团战，HERO中路二塔告破。
1049,12分钟，虞姬一箭精准击杀残血张飞，12分40秒，镜开大换位被蹲点倒地，13分钟，娜可露露拿下主宰，HERO上路高地被破，14分14秒，HERO再掉下路高地，14分50秒，娜可露露单杀镜，娜可露露单开掉主宰，15分50秒，HERO三路高地全部被破，姜子牙大闪刮两人刮残公孙离，廉颇吸引全部火力坐电梯回城后二度进场伤害打满，娜可露露起飞拿到双杀，HERO被团灭，DYG退掉敌方水晶，双方一比一战平。本局最佳给到深圳DYG.小义的娜可露露
1050,第三局，2分半，双反换龙，无畏阿古朵拿下先知主宰，小义露娜拿下暴君，5分半，萧玦百里守约闪现普攻后空狙，易瞳吕布闪现越塔击杀久酷狄仁杰拿下一血，6分半，露娜拿下暴君，8分半，百里守约狙死阿古朵，10分20秒，露娜拿下主宰，HERO开暗影暴君被发现撤退，11分半，百里守约和易峥伽罗双POKE打残子阳太乙真人，HERO中路外塔被破，12分半，露娜拿下主宰，13分钟，太乙真人闪炸星宇盾山，星痕曜刮死盾山，14分半，露娜拿下主宰，16分45秒，太乙真人开加速闪炸两人，清融女娲接大招跟伤害，曜击杀吕布，曜切百里守约失败反被A死，露娜拿下主宰。
1051,18分50秒，女娲法阵将盾山卡在墙角，盾山倒地，DYG边撤边拿下主宰，19分50秒，曜闪现越塔击杀吕布，20分半，盾山背到太乙真人，太乙真人未开出大招瞬间蒸发，23分钟，百里守约一枪带走阿古朵，露娜拿下风暴龙王，23分半，HERO中路高地被破，24分钟，HERO再掉下路高地，阿古朵大招拍三人，曜先行切死盾山，露娜找到女娲位置二连飞将其击杀，HERO二换三DYG，26分半，HERO三路高地全部被破，太乙真人舔到伽罗逼出伽罗闪现，女娲大招刮到百里守约，百里守约倒地，28分半，双方龙坑处爆发团战，露娜秀死狄仁杰，百里守约拿下风暴龙王，三路超级兵压力加上龙王BUFF加持，DYG势如破竹推掉敌方水晶，战胜HERO。本局最佳给到深圳DYG.小义的露娜
1052,2021年KPL春季赛常规赛第二轮首个比赛日第二场比赛由深圳DYG对阵广州TTG，这是一场S组的比赛，易瞳、清清对阵老东家。最终，深圳DYG三比二战胜广州TTG，拿到第二轮首个积分，广州TTG作为刚刚升入S组的战队险些完成让二追三，表现同样值得肯定，期待两支战队更好的发挥。
1053,第一局，3分钟，九尾不知火舞一闪控起小义澜，不然娜可露露扑死澜拿到一血，3分40秒，星宇孙膑被钎城百里守约A死，清清吕布拿下先知主宰，5分20秒，娜可露露拿下暴君，6分半，不知火舞大招推三人，萧玦杨玉环大招未奶起来，吕布一刀劈死易峥虞姬，不知火舞一扇子击杀杨玉环，8分钟，娜可露露拿下暴君，8分45秒，TTG冲敌方上路二塔失败，澜大招推两人，澜二技能转死娜可露露，杨玉环控死不知火舞，孙膑开加速，DYG五人抓死冰尘刘邦，TTG连倒四人，11分钟，易瞳猪八戒肉身挡狙，澜拿下暗影暴君，澜进场切死不知火舞。
1054,13分钟，娜可露露扑死虞姬，澜大招推两人，不知火舞切死杨玉环，不知火舞无能量，澜三连决胜，双方三换三，14分15秒，澜拿下暗影主宰，15分钟，吕布无大招被风筝死，百里守约狙死澜，16分40秒，澜拿下暗影暴君，18分钟，猪八戒大招开到不知火舞和百里守约，刘邦被迫传大给不知火舞，不知火舞被猪八戒闪现一技能留住倒地，娜可露露绕后，虞姬开二技能将其反杀，19分钟，TTG中路高地被破，百里守约、不知火舞用命清掉兵线，DYG面对残血水晶无兵线将其拆掉，拿下首局比赛胜利。本局最佳给到深圳DYG.易瞳的猪八戒
1055,第二局，2分半，不然镜拿下暴君，4分20秒，镜拿下先知主宰，8分15秒，钎城公孙离点出暴击击杀星宇大乔拿到一血，9分10秒，镜拿下先知主宰，10分半，镜拿下暴君，九尾姜子牙大闪刮三人，镜二连击破，清清夏侯惇一技能二段拍死易瞳老夫子，14分钟，老夫子大闪捆中镜，大乔集结五人，小义裴擒虎扑死镜，廉颇大招拍死姜子牙，14分半，TTG上路高地被破，公孙离点不动人换伞被裴擒虎直接扑死，复活的镜一打四清掉上路兵线拿到双杀，老夫子未能敲掉丝血水晶倒地，TTG强行守下续命。
1056,16分50秒，裴擒虎抢下暗影主宰，18分钟，公孙离点死大乔后被裴擒虎扑死，老夫子拉回满血冰尘张飞，张飞被集火倒地，老夫子推TTG下路高地失败被姜子牙大闪刮死，TTG再守下一波。21分钟，裴擒虎抢下风暴龙王，镜切死裴擒虎，老夫子捆中公孙离，公孙离掉复活甲后被守尸，镜开大换位活活被龙王BUFF点死，DYG一换四TTG，TTG仅剩张飞一人，21分半，TTG中路高地被破，张飞被老夫子卡在泉水中，DYG推掉敌方水晶，进入赛点局。本局最佳给到深圳DYG.小义的裴擒虎
1057,第三局，4分钟，不然阿古朵拿下暴君，4分18秒，小义娜可露露拿下先知主宰，钎城马可波罗击杀萧玦上官婉儿那袋一血，九尾元歌切死易瞳白起，5分半，易峥狄仁杰逼出清清芈月大招，上官婉儿Z字型上天二连击破，7分50秒，星宇鲁班大师拉到冰尘太乙真人，太乙真人未开出复活倒地，8分13秒，上官婉儿秒掉元歌，9分钟，娜可露露拿下暴君，芈月拿下先知主宰，9分半，芈月极限一发普攻击杀上官婉儿，10分半，易瞳白起卡视野被集火，不然阿古朵拿下暗影暴君。
1058,11分钟，狄仁杰拿下暗影主宰，13分钟，太乙真人大招再次未开出倒地，15分钟，白起站位尴尬被风筝至残血，白起被迫交大嘲讽到马可波罗，芈月粘死白起，马可波罗转大转两人接一技能扫死狄仁杰，元歌切死落地的上官婉儿，DYG连倒三人，15分半，DYG中路高地被迫，娜可露露大招未能清掉中路兵线，娜可露露点鲁班大师链子后倒地，DYG被团灭，TTG推掉敌方水晶，扳回一局。本局最佳给到广州TTG.钎城的马可波罗
1059,第四局，2分6秒，小义镜拿下暴君，4分半，冰尘鲁班大师拉两人，清清曜切死易峥伽罗拿到一血，5分半，易瞳刘邦大招传给星宇牛魔，刘邦炸死钎城狄仁杰，6分48秒，不然橘右京动龙被秒，7分15秒，萧玦嬴政大招扫死九尾沈梦溪，7分半，刘邦传大给镜未能保住，狄仁杰与镜互换，10分40秒，橘右京拿下暗影暴君，12分17秒，刘邦传大被曜打断，刘邦倒地，镜拿下暗影主宰止损，14分20秒，曜闪现刮死牛魔。
1060,16分钟，DYG上路高地被破，16分40秒，嬴政大招扫死狄仁杰，沈梦溪大招二段拍死镜，曜强行切死伽罗，DYG上路高地被破，17分钟，橘右京二技能定到牛魔，牛魔死于自家泉水前，橘右京大招将嬴政卡在泉水无法清线，TTG推掉敌方水晶，双方进入决胜局。本局最佳给到广州TTG.清清的曜
1061,第五局，2分20秒，小义露娜拿下暴君，3分10秒，九尾貂蝉拿下暴君，3分30秒，貂蝉越塔一打二抗塔过多，易峥公孙离赶来点死貂蝉，4分钟，DYG三人包下塔下强杀钎城廉颇，5分钟，易瞳吕布大招接一刀击杀廉颇，6分40秒，廉颇开团脱节被秒，露娜拿下暴君，貂蝉逼出星宇张飞大招，7分钟，貂蝉被减速到被公孙离点死，露娜一技能击杀冰尘孙膑，9分钟，不然裴擒虎进场蒸发，9分半，萧玦姜子牙闪现失误送掉人头。
1062,11分半，露娜SOLO掉暗影主宰，13分钟，TTG仅剩三路高地，吕布大招逼出貂蝉净化，14分50秒，露娜拿下暗影暴君，16分半，露娜拿下暗影主宰，17分12秒，TTG下路高地被破，17分半，冰尘孙膑干扰交错，TTG再掉上路高地，18分钟，姜子牙一技能烫死裴擒虎，露娜辉月花奴复活甲吸引火力，貂蝉身板过脆被秒，清清马超进场即被打残未发挥出任何作用，DYG顺着上路兵线推掉敌方水晶，战胜TTG。本局最佳给到深圳DYG.萧玦的姜子牙
1063,4月8日，王者荣耀职业联赛（KPL）春季赛常规赛第三轮正在如火如荼的进行中，深圳DYG战队迎战成都AG超玩会，本次比赛中，深圳DYG以3比2，让二追三，将成都超玩会斩落马下，这场比赛也是深圳DYG第三轮比赛中的第二场胜利，目前豪取两连胜，暂列A组积分榜第一。
1064,前两局比赛，成都AG超玩会都是通过运营取得优势，将优势慢慢转为胜势，发挥相对是比较稳健的，但之后的几局比赛接连失误，被连翻三局，更是出乎了很多观众的意料。
1065,第三局比赛，成都AG超玩会前期就取得了优势，经济领先。然而9分钟时，深圳DYG迎来了转折点，情川的蒙恬秒掉一诺的狄仁杰，DYG 1换2。之后的团战中，决明的嬴政更是输出拉满，依靠着连续打赢的两波团战也是慢慢扳回了劣势。决胜团中抓住一诺的狄仁杰失误，秒掉后连杀AG两人，一波拿下比赛，开启了翻盘的序幕，本局决明的嬴政完美的输出伤害，拿下本局MVP。
1066,第四局比赛，可能是DYG的翻盘让AG有些警惕，前期双方打的都比较稳，深圳DYG在开局下路团中击杀盾山拿到一血，后一波二换二，两边势均力敌，DYG小占优势。但中期DYG将龙牢牢控住，边路也不断进行推进。然而决胜团，深圳DYG再次抓住一诺的伽罗站位失误，瞬秒伽罗，打出三换五后，一波带走比赛。深圳DYG再下一城，决明的沈梦溪发挥出色，再次拿下MVP。
1067,决胜局，接连被翻两局，AG明显有些着急，初晨跟久诚都掏出了各自的绝活，露娜跟百里守约这一个经典组合重现赛场，不得不说久诚的百里守约确实有几把刷子，前期通过火力压制对手，仅11分钟，双方经济差就来到了6K左右，16分钟，AG更是拿下了三路高地，直奔水晶，然而一诺的马可波罗再次失误，虽然打出了裴擒虎的复活甲，但DYG果断回头反打，一波一换四，逆转节奏，顺利拿下比赛。决明的西施拿下了MVP。
1068,平心而论，这几场一诺的几次失误确实是直接导致比赛失利的重要原因，这锅他得背。不过电子竞技嘛，失误总是再所难免的，而深圳DYG的发挥也确实很不错，在落后的情况下也能稳住心态，战队的整体竞技状态也越来越好了，决明的发挥非常亮眼，三连MVP也是实至名归。希望深圳DYG可以给我们带来更多精彩的比赛，让我们拭目以待吧。
1069,1月23日，王者荣耀冬冠总决赛，赛前大家普遍看好的深圳DYG以1:4输给南京HERO。很多观众不解为何秋季赛无人能挡的深圳DYG在这次决赛时仿佛换了一支队伍，是南京HERO进步太快，还是深圳DYG出了问题？我们通过比赛详细来看。
1070,本局BP双方都拿到了自己想要的阵容。由于在红色方，必然要承担镜、澜、鲁班大师三个强势英雄放一个的风险，深圳DYG最终选择放镜。同时自己构建出一套全突进阵容，让对手的镜不好进场切入。本局深圳DYG唯一的隐患是缺少后期支柱，后期伤害不足，必须要在中期解决战斗。
1071,南京HERO这边拿出多核阵容应对对方的全突进，久哲最后两手功力深厚。首先是省了一手廉颇，用夏侯惇来打先手和拆伙，虽然这把廉颇更合适，但这把已经用了太多强势英雄，后面的BP不好做。其次是这手刘邦，刘邦既弥补了火舞前期清线弱的缺点，也让对手的兰陵王不好下手，己方的镜在野区对抗中占据上风。
1072,这一局深圳DYG输在马可波罗前期两次被抓，马可两次阵亡都和选手自身操作有一定关系。易峥太想压人，而队友并没有给予马可太多保护。深圳DYG其他阵容这么打没问题，易峥前期死两次无伤大雅，小义正好能趁机发育，中后期团战站出来。但这一局小义玩的是兰陵王，后期作用很小，深圳DYG这套阵容想要中期结束比赛只能靠2件套马可的最强一波。
1073,但易峥的两次阵亡让深圳DYG优势期拖后，虽然中期打回几波团战，但未能拉开压倒性的优势，伽罗3件套之后南京HERO团战已经明显占优，后期赢下比赛理所应当。
1074,这一局双方BP仍然是以构建自身体系为主。但SK第二轮BAN选有些奇怪，BAN娜可露露还能理解，因为自身大桥体系怕爆发，但是BAN虞姬有些摸不着头脑，这局中期能开团、后期能C的后羿要比虞姬强太多。SK肯定没看南京HERO绝活杯的比赛，南京HERO绝活杯时经常掏类似的阵容，并且只要掏出来就能赢。
1075,但久哲肯定研究了深圳DYG近一年的比赛，第二轮非常针对性的BAN掉守约、沈梦溪，让自家后排很难被消耗。BP上久哲完胜。
1076,深圳DYG再次将阵容的核心放在了易峥身上，易峥必须要撑起前期。南京HERO依然贯彻多核策略，阵容相当扎实。
1077,本局深圳DYG再次输在前期，萧玦前期连死3次，但这也不能全怪萧玦，嬴政面对后羿+鲁班大师的控制链确实没办法，再加上还有硬突脸的廉颇，萧玦即使带了净化也无济于事，只要被射中必死。
1078,前期没优势，深圳DYG这个阵容就很难打，中期南京HERO弹弓成型，深圳DYG吃不住伤害，后期团战更是无法阻挡后羿的爆炸伤害。本局深圳DYG输在阵容。
1079,这一局深圳DYG终于想到改变BP思路，给选手拿能秀的英雄，拼前中期操作。南京HERO也变阵，本局核心转到对抗路星痕，玩马核，打突进。
1080,但这局BPSK出现了更加严重的问题。首先是露娜打野，这一局露娜走边廉颇打野是最优解。我们都知道边路露娜COUNTER马超，廉颇可以打野，并且前期能让一片蓝野区给露娜，然后4人抱团，主攻下半野区，对方是阿古朵不存在前期直接被入侵的风险，露娜可以在线上稳稳压制住马超。而廉颇打马超完全限制不住，马超想游走就游走，想清线就清线，露娜打野也打不出什么优势，完全浪费。
1081,其次是第二轮BAN位放孙膑，SK选择封锁南京HERO两个消耗型射手，但却漏掉了南京HERO本局最为关键的“发动机”孙膑。射手并不是南京HERO本局的关键，只是一个单点，但孙膑却能带来整套体系的提升，SK第二轮BAN有些捡了芝麻丢了西瓜的感觉。
1082,最后是萧玦这手上官婉儿，婉儿是一个上限很高，下限很低的英雄。单纯从BP角度看，这手婉儿尚可，是一个很强的节奏点，前期可以抓边针对马超。但从前几场的状态来看，萧玦今天的手感一般，这手婉儿的压力极大，萧玦也并非刺客出身，将节奏点压在萧玦身上不是一个明智的选择。
1083,阵容加状态让深圳DYG再次在前期崩掉，南京HERO马超很快在边路称霸，中期无人能挡，南京HERO一边倒式的赢下比赛。
1084,这一局双方英雄池消耗了很多，深圳DYG很难再组建出一套前期强势的阵容，他们选出一套偏发育运营的阵容，前期不准备和对方硬拼了，稳发育拼中后期团战。
1085,久哲这一局头脑依旧清晰，对方想要发育，自己这边就要强开，所以南京HERO拿出了很多先手英雄，力求中期结束战斗。
1086,本局深圳DYG前期还是没有打过对手，这局主要是阵容问题，前期深圳DYG伤害不够。不过好在这一局清清站了出来，挡住南京HERO关键一波，撑到后期，为深圳DYG赢得了翻盘机会。
1087,本局久哲的BP实在是强，不仅强在阵容上的克制，还强在对对手心态的揣摩。他将两个BAN位给到清清战边。因为久哲观察到深圳DYG今天状态最好的就是清清，当手感最好的清清拿出白起时，南京HERO就赢了一半。
1088,打到第五局双方都很难再拿出T1级别的阵容，双方阵容都很一般，深圳DYG前期伤害高，南京HERO中期伤害高，后期伤害都比较低。但相比之下，南京HERO还有吕布和娜可露露可以撑一下后期伤害，深圳DYG这边则完全没有。
1089,本局是深圳DYG的溃败局，心态失衡严重，操作变形，唯一一个有手感的选手清清玩的是白起，毫无办法。这局深圳DYG前期打不出来，就永远也打不出来了，阵容没有翻盘点。南京HERO从开始压制到结束。
1090,深圳DYG输在以下几点：
1091,1、SK未能充分了解对手，几次拿出的阵容让自家选手很难受。
1092,2、SK临场决策很僵硬，未能根据选手的状态及时调整BP和战术。
1093,3、前中期拿不到优势时缺少办法。深圳DYG之所以强，是因为他们前期很容易打优势，小义刷刷刷，中后期无敌。但总决赛中深圳DYG前中期拼操作总是拼不过对手，小义总是刷的问题就会凸显。
1094,深圳DYG堪称旧版本的大魔王，但南京HERO的少年用实力、勇气、信心成为了打败魔王的勇士。南京HERO的捧杯再次告诉我们，没有人永远无敌，认真踏实的对待每一场比赛才赢得最后的胜利。
